pitch,predicted_pitch
-0.040299034549479265,-0.040299034549479265
-0.04030108605754806,-0.040307997535512945
-0.040303137565616855,-0.04031695643796357
-0.040305189073685646,-0.04032591125683114
-0.040307240581754444,-0.04033486199211565
-0.040309292089823236,-0.04034380864381711
-0.040311343597892034,-0.04035275121193552
-0.040313395105960825,-0.040361689696470866
-0.04031544661402962,-0.04037062409742316
-0.040317498122098415,-0.0403795544147924
-0.040319549630167206,-0.04038848064857858
-0.040321601138236005,-0.0403974027987817
-0.040323652646304796,-0.04040632086540177
-0.04032570415437359,-0.04041523484843878
-0.040327755662442386,-0.040424144747892736
-0.04032980717051118,-0.04043305056376364
-0.04033185867857997,-0.040441952296051485
-0.040333910186648766,-0.04045084994475628
-0.04033596169471756,-0.040459743509878014
-0.040338013202786356,-0.040468632991416696
-0.04034006471085515,-0.04047751838937232
-0.04034211621892394,-0.040486399703744895
-0.04034416772699274,-0.04049527693453441
-0.04034621923506153,-0.040504150081740874
-0.04034827074313033,-0.04051301914536428
-0.04035032225119912,-0.04052188412540463
-0.04035237375926791,-0.04053074440399151
-0.04035442526733671,-0.040539600181149625
-0.0403564767754055,-0.04054845151118469
-0.04035852828347429,-0.04055729870345486
-0.04036057979154309,-0.04056614168680906
-0.04036263129961188,-0.04057498065827675
-0.04036468280768068,-0.04058381579272937
-0.04036673431574947,-0.04059264734234634
-0.04036878582381826,-0.04060147498460835
-0.04037083733188706,-0.04061029958651724
-0.04037288883995585,-0.040619121154627354
-0.04037494034802465,-0.04062794055239529
-0.04037699185609344,-0.040636756885861
-0.04037904336416223,-0.04064557061421041
-0.04038109487223103,-0.04065438118322012
-0.04038314638029982,-0.04066318928963429
-0.04038519788836861,-0.040671995069030194
-0.04038724939643741,-0.040680798378551465
-0.0403893009045062,-0.040689599461049185
-0.040391352412575,-0.040698398327406085
-0.04039340392064379,-0.040707194870154034
-0.04039545542871258,-0.04071598894906712
-0.04039750693678138,-0.04072478140205264
-0.04039955844485017,-0.040733572118505604
-0.04040160995291897,-0.04074236108381848
-0.04040366146098776,-0.04075114833933537
-0.040405712969056554,-0.040759933593444535
-0.04040776447712535,-0.040768717668892424
-0.04040981598519414,-0.040777500298647226
-0.040411867493262935,-0.04078628135868314
-0.04041391900133173,-0.04079506159200547
-0.040415970509400524,-0.040803840369287095
-0.04041802201746932,-0.04081261772421039
-0.040420073525538114,-0.04082139377461825
-0.040422125033606905,-0.04083016895567559
-0.0404241765416757,-0.04083894354673054
-0.040426228049744495,-0.040847717128941606
-0.040428279557813286,-0.040856489772403075
-0.040430331065882084,-0.04086526163700511
-0.040432382573950876,-0.04087403258114095
-0.040434434082019674,-0.040882802581784436
-0.040436485590088465,-0.0408915723190294
-0.04043853709815726,-0.04090034129861157
-0.040440588606226055,-0.040909110302422204
